72;16;11;74;20;33;-53;-14;-20;-28;17;-89;-18;-64;63;89;-16;8;-17;-93;-11;27;-30;-63;-81;-42;78;-55;-30;-28;-80;26;-61;-37;38;54;45;-17;-79;-9;-98;-22;52;-87;-69;-63;-70;-57;-39;52
98;18;-36;-90;19;0;56;-59;17;42;-44;89;55;-16;49;34;97;-70;57;27;-45;-46;86;-1;56;30;2;75;56;15;3;-25;-86;-68;8;59;57;6;-65;-8;-8;50;-60;14;-64;-45;83;-49;40;30
-23;-63;88;71;-96;90;-47;-23;21;5;14;95;-56;4;-75;-66;90;-44;73;68;24;-24;-34;72;58;37;-67;-15;-95;2;57;10;-45;-96;10;-51;-85;-10;37;-99;1;-24;-49;27;-38;48;86;-82;-69;-60
-42;-72;-55;-7;28;-65;-63;15;-2;37;-50;-19;-12;-51;46;-9;-13;69;-90;-39;44;-4;28;72;-51;-2;4;-92;-5;33;48;-27;4;-65;-23;7;31;78;-36;-69;100;57;-35;-63;59;17;90;-70;33;-11
41;66;-35;28;21;-94;29;-64;-93;-7;54;74;29;10;-56;53;97;-69;-6;70;23;-20;-14;-51;-39;3;76;-19;-4;-38;45;84;0;84;37;30;33;17;34;-50;32;4;64;-99;69;85;-65;29;-69;-55
38;64;2;-27;-41;6;-19;-72;20;-53;9;-67;42;-55;-46;-94;-99;-78;58;88;-1;63;88;57;-30;65;-39;53;-69;-10;80;50;84;-5;82;-68;-63;-89;87;-21;37;68;-17;-82;-54;-74;-55;65;-42;-65
-49;-25;-53;-7;-4;28;72;-28;-44;91;49;-59;-68;-99;46;-63;41;97;-47;-2;-64;52;31;10;56;-16;75;73;-82;20;-57;1;-18;-54;-62;-55;93;-36;-74;59;30;76;81;25;61;-54;52;41;-63;50
37;66;82;27;-39;-33;7;4;-78;-19;16;27;12;-97;92;46;52;43;-27;-87;12;-52;21;-46;-48;-36;6;69;-33;-21;79;9;74;66;-69;67;57;70;59;-75;38;44;-8;-46;-50;66;60;69;58;66
-81;-4;22;-96;52;90;52;82;31;-13;-40;26;79;-91;-52;4;16;72;59;-59;88;20;47;-87;-81;-97;43;-49;10;79;93;0;-53;12;80;-33;74;10;-94;-100;-90;3;-4;53;-76;8;18;-23;66;77
-35;6;-34;52;-45;-22;25;9;-85;-77;-66;76;64;34;13;-30;-71;-85;-47;-100;36;-54;57;-81;81;-100;-54;-68;-94;-54;19;-78;96;19;-65;91;54;-45;92;-13;71;97;97;10;94;-82;65;-25;-34;-17
87;-24;32;-10;46;59;4;51;-96;3;85;17;-88;23;-62;-17;40;-65;39;-99;55;-24;-24;-86;15;94;-30;-74;88;98;-25;29;27;15;75;32;32;37;65;-20;-24;19;95;-74;-54;1;-91;-56;85;-73
-73;-88;20;-71;65;-23;84;-1;-30;27;-95;-35;-40;-13;46;30;0;-73;-57;44;70;-1;7;77;-69;-2;-57;-50;66;-64;-76;28;-49;51;-77;-81;-37;72;-35;7;92;19;68;-61;-66;1;40;-50;-99;-72
55;-67;-75;-24;-25;-23;-9;43;-11;47;-63;-28;34;-57;22;-40;-22;98;73;69;-58;-62;86;6;4;50;-47;-37;69;44;-72;16;17;-98;18;-97;25;-53;93;-92;-97;70;-91;47;3;-37;-97;-81;-34;89
40;-75;-91;38;-96;-81;82;-90;12;71;-25;14;-36;-74;-83;-70;79;79;-35;-41;-34;28;-6;-13;9;86;-81;-80;14;-10;75;27;73;-75;6;70;-18;44;-37;22;-68;-24;-38;-50;7;-15;69;63;-52;-74
-35;26;45;47;32;-26;-25;-91;-38;65;89;-97;-10;-66;36;-61;45;5;-39;-31;100;29;-93;-24;-20;-69;-62;40;-26;95;42;31;96;-48;-36;19;-91;84;-14;-91;50;-7;84;-37;-38;40;29;-22;61;-13
-81;65;-60;59;64;82;8;94;-51;-27;-61;-53;-47;53;33;86;76;49;-83;87;-67;92;26;51;-56;21;-29;-63;20;-78;-3;86;33;92;56;-11;0;-88;35;20;-69;-86;-38;87;80;-70;-36;-91;-65;19
39;27;-84;51;83;-1;-51;-92;57;-33;3;4;0;18;-38;96;-98;-38;-66;-38;-63;-72;1;90;-46;-10;-100;100;18;-60;21;80;-74;65;-71;20;-16;-77;-10;-67;7;58;-56;-95;-26;83;-42;-93;-16;82
-56;88;16;85;77;17;-84;-83;-10;43;-15;52;33;-85;49;33;-5;-83;85;-76;-99;-90;36;-7;89;-4;-53;42;15;-5;-53;-56;-34;21;-99;98;93;27;36;-41;9;-50;-47;-82;-63;68;70;32;51;-92
76;-43;15;-46;-48;30;-74;-86;-25;70;-80;-30;-98;-53;-9;79;68;-58;-63;32;47;-91;-14;61;-52;24;-1;-98;48;-32;-15;92;14;93;34;-6;39;6;-8;89;41;10;-93;-53;-74;-40;-85;-6;-18;-23
1;-15;1;-74;1;63;12;-54;-50;-73;23;31;-26;61;64;-71;93;76;96;-14;-64;-11;-32;61;-41;51;-39;-29;-64;66;-34;-89;-29;14;-12;4;-100;76;-33;-66;85;-14;30;35;35;46;3;90;-14;97
100;-64;28;92;-58;4;-58;-39;74;34;14;-88;-12;78;-8;-38;12;-39;-49;89;12;43;-86;-94;94;67;40;-18;-38;-63;98;-69;98;9;-83;-87;-43;-41;-61;-3;-68;-2;29;24;-50;2;-6;-87;-78;-49
15;-68;94;-58;49;-67;33;-97;-86;-52;26;35;-14;52;-97;-45;-26;53;-71;72;44;-2;43;-68;-80;-90;-75;44;78;-68;92;57;-77;-75;60;-88;65;-85;-11;53;-19;34;26;52;36;66;-30;19;-53;38
8;-13;-38;28;27;34;-78;86;69;-81;100;94;48;-89;-43;35;-35;4;-100;49;17;-20;-56;39;-32;-89;64;-32;15;12;-51;84;-93;55;45;58;27;-77;-98;-34;-93;-81;42;99;-54;5;74;42;-84;-57
91;-5;-89;1;-44;-66;-100;2;75;-58;68;-5;91;-45;-62;56;65;-100;-57;-41;-33;-63;-53;-61;41;59;18;-59;-31;98;47;40;90;0;46;-86;-23;81;97;-38;80;1;-30;-90;33;-98;-4;61;-35;-53
47;37;-2;79;21;96;9;-35;97;31;-3;-6;62;-2;80;58;-41;-88;-43;40;-28;-25;-24;-2;-8;-69;11;72;-84;60;-62;98;-71;-15;-58;-36;-73;-11;37;-11;-12;-67;-16;-69;72;49;-7;-94;-36;95
26;-76;-23;-71;-90;-71;22;-51;55;62;23;77;-44;-19;-62;27;40;75;-90;-75;-3;-6;38;-39;92;-85;15;-9;86;-91;-34;51;100;-49;87;-86;73;-38;34;68;-99;-5;-68;-80;30;78;-53;-72;-17;3
-4;58;38;-66;-31;-69;-24;91;60;100;25;-80;-24;-64;-97;-44;56;-13;20;-31;63;-72;-13;-49;62;21;69;23;74;62;-67;-62;64;-41;93;0;-48;72;-89;-30;48;11;-28;14;54;-19;-53;-7;-80;-88
-13;-83;94;19;73;-1;-43;22;-43;62;-49;62;-44;76;19;95;28;-11;76;-11;83;36;83;67;40;-81;89;54;-2;-68;21;98;5;-45;28;-78;-99;-44;-45;-44;11;-99;-9;-98;-24;43;-64;35;-26;26
